date,home_team,away_team,home_score,away_score,tournament,neutral,target,target_numeric,neutral_numeric,elo_home,elo_away
2000-02-13,Dominican Republic,British Virgin Islands,1.0,0.0,Friendly,False,HW,2,0,1500.0,1486.2366112039426
2000-02-13,Mexico,Trinidad and Tobago,4.0,0.0,Gold Cup,True,HW,2,1,1513.0885442384276,1470.6471999915343
2000-02-14,Haiti,Peru,1.0,1.0,Gold Cup,True,D,1,1,1485.620512215555,1500.0
2000-02-14,Jamaica,Honduras,0.0,2.0,Gold Cup,True,AW,0,1,1511.9541413504753,1515.0
2000-02-14,Turkmenistan,Nepal,5.0,0.0,AFC Asian Cup qualification,True,HW,2,1,1501.859302487685,1500.6471999915343
2000-02-15,Trinidad and Tobago,Guatemala,4.0,2.0,Gold Cup,True,HW,2,1,1457.4704800741897,1500.6424469412482
2000-02-15,Malaysia,Maldives,2.0,0.0,Friendly,False,HW,2,0,1485.0,1500.0
2000-02-15,Chile,Slovakia,0.0,2.0,Friendly,False,AW,0,0,1490.5119567702939,1484.9200503941877
2000-02-15,Canada,South Korea,0.0,0.0,Gold Cup,True,D,1,1,1515.5647590779781,1511.30408598853
2000-02-15,Australia,Bulgaria,1.0,1.0,Friendly,True,D,1,1,1483.2281095290903,1498.2269428268623
2000-02-16,Bhutan,Turkmenistan,0.0,8.0,AFC Asian Cup qualification,True,AW,0,1,1484.3528000084657,1516.8069720286385
2000-02-16,Honduras,Colombia,2.0,0.0,Gold Cup,True,HW,2,1,1529.868503080172,1516.2134346203095
2000-02-16,Japan,Brunei,9.0,0.0,AFC Asian Cup qualification,True,HW,2,1,1501.883708059378,1485.0
2000-02-16,Kuwait,Yemen,2.0,0.0,AFC Asian Cup qualification,False,HW,2,0,1528.1430332497264,1498.7334084925506
2000-02-16,Lebanon,North Korea,1.0,0.0,Friendly,False,HW,2,0,1500.0,1485.0557704814235
2000-02-16,Macau,Singapore,0.0,1.0,AFC Asian Cup qualification,False,AW,0,0,1515.0,1498.116291940622
2000-02-16,Panama,El Salvador,4.0,1.0,Friendly,False,HW,2,0,1513.7080052393337,1485.0
